Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price,Volume,Description
Wine E,Country A,Brand A,Category B,Note C,11.9,Food Pairing A,Glassware A,Cellar Temperature,Dry,Full,4.5,493,55.92,750 mL,Wine description
Wine A,Country C,Brand A,Category A,Note B,13.4,Food Pairing A,Glassware C,Chilled,Dry,Light,4.2,346,37.52,750 mL,Wine description
Wine B,Country B,Brand A,Category B,Note A,14.2,Food Pairing B,Glassware A,Room Temperature,Dry,Light,2.2,62,80.08,750 mL,Wine description
Wine C,Country B,Brand C,Category B,Note C,13.6,Food Pairing A,Glassware C,Chilled,Dry,Light,1.3,206,79.14,750 mL,Wine description
Wine B,Country A,Brand B,Category C,Note B,11.5,Food Pairing A,Glassware A,Chilled,Sweet,Full,3.8,489,73.18,750 mL,Wine description
Wine A,Country B,Brand C,Category C,Note B,13.8,Food Pairing A,Glassware A,Room Temperature,Sweet,Medium,3.1,111,64.13,750 mL,Wine description
Wine D,Country A,Brand A,Category B,Note B,10.5,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Light,3.1,84,92.16,750 mL,Wine description
Wine C,Country B,Brand A,Category C,Note A,12.7,Food Pairing C,Glassware B,Chilled,Dry,Full,2.1,329,52.82,750 mL,Wine description
Wine B,Country B,Brand B,Category C,Note B,14.5,Food Pairing B,Glassware A,Chilled,Dry,Full,4.1,379,84.22,750 mL,Wine description
Wine D,Country A,Brand B,Category C,Note B,13.0,Food Pairing B,Glassware C,Chilled,Sweet,Medium,1.9,267,13.8,750 mL,Wine description
Wine E,Country B,Brand A,Category C,Note B,11.1,Food Pairing A,Glassware C,Room Temperature,Sweet,Full,4.9,434,72.99,750 mL,Wine description
Wine C,Country C,Brand C,Category B,Note B,10.1,Food Pairing C,Glassware A,Chilled,Sweet,Full,2.9,51,48.08,750 mL,Wine description
Wine B,Country B,Brand B,Category A,Note B,14.4,Food Pairing B,Glassware C,Room Temperature,Sweet,Light,1.3,495,45.06,750 mL,Wine description
Wine D,Country C,Brand C,Category A,Note A,14.6,Food Pairing C,Glassware A,Room Temperature,Sweet,Light,1.0,57,35.74,750 mL,Wine description
Wine E,Country A,Brand B,Category B,Note C,15.0,Food Pairing B,Glassware A,Room Temperature,Dry,Light,3.2,258,70.71,750 mL,Wine description
Wine B,Country A,Brand A,Category C,Note B,13.9,Food Pairing B,Glassware C,Chilled,Dry,Light,2.3,35,99.2,750 mL,Wine description
Wine E,Country B,Brand B,Category B,Note C,14.2,Food Pairing A,Glassware B,Chilled,Sweet,Medium,3.3,290,64.0,750 mL,Wine description
Wine A,Country A,Brand A,Category B,Note B,13.2,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Full,4.8,104,77.84,750 mL,Wine description
Wine B,Country B,Brand B,Category B,Note B,14.3,Food Pairing C,Glassware C,Chilled,Sweet,Light,1.6,119,57.95,750 mL,Wine description
Wine A,Country B,Brand B,Category A,Note A,13.5,Food Pairing B,Glassware C,Chilled,Sweet,Medium,1.3,35,32.58,750 mL,Wine description
Wine C,Country C,Brand C,Category B,Note B,14.8,Food Pairing C,Glassware A,Cellar Temperature,Dry,Medium,4.5,233,48.18,750 mL,Wine description
Wine B,Country C,Brand B,Category C,Note A,11.4,Food Pairing A,Glassware C,Cellar Temperature,Sweet,Medium,2.7,274,74.41,750 mL,Wine description
Wine C,Country C,Brand A,Category C,Note C,12.0,Food Pairing A,Glassware A,Room Temperature,Sweet,Medium,3.0,221,61.66,750 mL,Wine description
Wine D,Country C,Brand B,Category B,Note B,12.9,Food Pairing A,Glassware C,Room Temperature,Sweet,Medium,4.8,234,18.69,750 mL,Wine description
Wine C,Country A,Brand A,Category C,Note A,10.4,Food Pairing A,Glassware A,Chilled,Dry,Medium,2.4,411,17.55,750 mL,Wine description
Wine E,Country A,Brand A,Category B,Note C,11.3,Food Pairing B,Glassware A,Chilled,Sweet,Full,2.2,284,94.67,750 mL,Wine description
Wine C,Country C,Brand B,Category B,Note C,12.7,Food Pairing A,Glassware C,Room Temperature,Sweet,Medium,1.6,130,11.93,750 mL,Wine description
Wine A,Country A,Brand B,Category B,Note A,10.1,Food Pairing A,Glassware B,Chilled,Sweet,Light,2.3,79,34.51,750 mL,Wine description
Wine B,Country C,Brand B,Category A,Note B,14.8,Food Pairing B,Glassware A,Cellar Temperature,Dry,Full,3.2,239,19.34,750 mL,Wine description
Wine C,Country A,Brand C,Category C,Note A,11.7,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Medium,2.2,243,19.98,750 mL,Wine description
Wine A,Country C,Brand B,Category A,Note C,12.5,Food Pairing A,Glassware A,Room Temperature,Sweet,Full,4.7,63,54.15,750 mL,Wine description
Wine D,Country B,Brand C,Category A,Note A,10.3,Food Pairing B,Glassware A,Room Temperature,Sweet,Full,4.9,168,50.89,750 mL,Wine description
Wine C,Country B,Brand C,Category C,Note A,14.1,Food Pairing C,Glassware B,Cellar Temperature,Sweet,Full,3.4,257,65.9,750 mL,Wine description
Wine D,Country A,Brand A,Category C,Note A,14.6,Food Pairing C,Glassware B,Room Temperature,Dry,Light,3.1,492,80.01,750 mL,Wine description
Wine B,Country B,Brand A,Category A,Note A,13.8,Food Pairing B,Glassware A,Chilled,Sweet,Full,2.6,403,62.94,750 mL,Wine description
Wine A,Country C,Brand C,Category B,Note B,10.6,Food Pairing A,Glassware C,Chilled,Sweet,Full,2.1,448,51.14,750 mL,Wine description
Wine E,Country A,Brand B,Category B,Note C,12.8,Food Pairing B,Glassware C,Room Temperature,Dry,Medium,3.7,46,19.67,750 mL,Wine description
Wine D,Country B,Brand C,Category C,Note A,12.7,Food Pairing B,Glassware C,Chilled,Sweet,Full,2.9,64,63.12,750 mL,Wine description
Wine A,Country B,Brand C,Category B,Note C,10.2,Food Pairing C,Glassware C,Chilled,Dry,Light,1.6,467,17.86,750 mL,Wine description
Wine D,Country C,Brand C,Category B,Note B,10.4,Food Pairing C,Glassware B,Cellar Temperature,Dry,Medium,2.9,291,31.51,750 mL,Wine description
Wine B,Country C,Brand C,Category B,Note C,12.8,Food Pairing A,Glassware C,Room Temperature,Sweet,Medium,1.2,69,90.69,750 mL,Wine description
Wine C,Country C,Brand A,Category B,Note C,12.0,Food Pairing A,Glassware A,Cellar Temperature,Dry,Medium,1.0,151,30.51,750 mL,Wine description
Wine D,Country A,Brand A,Category A,Note B,13.2,Food Pairing A,Glassware A,Chilled,Sweet,Medium,1.6,118,88.55,750 mL,Wine description
Wine E,Country C,Brand B,Category B,Note B,13.1,Food Pairing C,Glassware A,Chilled,Dry,Full,4.4,205,97.9,750 mL,Wine description
Wine E,Country C,Brand C,Category B,Note C,13.3,Food Pairing C,Glassware A,Cellar Temperature,Dry,Medium,1.4,183,17.72,750 mL,Wine description
Wine B,Country B,Brand B,Category C,Note C,14.7,Food Pairing A,Glassware C,Cellar Temperature,Sweet,Medium,1.2,67,35.1,750 mL,Wine description
Wine A,Country B,Brand C,Category A,Note B,13.9,Food Pairing A,Glassware A,Chilled,Sweet,Full,2.5,390,10.34,750 mL,Wine description
Wine E,Country A,Brand B,Category A,Note A,11.0,Food Pairing B,Glassware A,Room Temperature,Sweet,Full,1.6,471,34.23,750 mL,Wine description
Wine D,Country B,Brand A,Category A,Note A,13.5,Food Pairing A,Glassware C,Chilled,Dry,Medium,4.7,140,94.18,750 mL,Wine description
Wine B,Country B,Brand C,Category B,Note A,12.8,Food Pairing A,Glassware A,Room Temperature,Sweet,Light,2.0,241,14.36,750 mL,Wine description
Wine C,Country B,Brand A,Category A,Note B,14.3,Food Pairing B,Glassware B,Cellar Temperature,Sweet,Medium,3.5,138,83.81,750 mL,Wine description
Wine E,Country C,Brand C,Category C,Note B,10.8,Food Pairing C,Glassware A,Chilled,Sweet,Full,1.4,243,27.47,750 mL,Wine description
Wine A,Country A,Brand A,Category C,Note B,12.5,Food Pairing A,Glassware A,Cellar Temperature,Sweet,Medium,4.1,151,33.99,750 mL,Wine description
Wine A,Country A,Brand A,Category B,Note C,12.8,Food Pairing B,Glassware C,Chilled,Sweet,Light,4.4,162,48.84,750 mL,Wine description
Wine E,Country B,Brand B,Category C,Note A,10.6,Food Pairing A,Glassware B,Chilled,Dry,Full,3.6,184,43.33,750 mL,Wine description
Wine D,Country B,Brand A,Category B,Note B,11.3,Food Pairing A,Glassware A,Room Temperature,Dry,Full,3.2,56,90.13,750 mL,Wine description
Wine E,Country C,Brand C,Category C,Note C,11.5,Food Pairing C,Glassware A,Cellar Temperature,Sweet,Full,3.8,226,63.98,750 mL,Wine description
Wine D,Country B,Brand A,Category A,Note B,14.8,Food Pairing A,Glassware B,Chilled,Dry,Full,3.6,485,19.71,750 mL,Wine description
Wine C,Country B,Brand C,Category A,Note A,14.8,Food Pairing B,Glassware C,Room Temperature,Dry,Light,1.2,109,43.78,750 mL,Wine description
Wine E,Country C,Brand C,Category C,Note B,14.0,Food Pairing B,Glassware C,Cellar Temperature,Dry,Medium,2.0,429,46.11,750 mL,Wine description
Wine B,Country A,Brand B,Category C,Note A,10.1,Food Pairing A,Glassware A,Cellar Temperature,Sweet,Light,3.6,376,43.32,750 mL,Wine description
Wine C,Country C,Brand C,Category B,Note A,14.8,Food Pairing C,Glassware B,Room Temperature,Sweet,Full,2.3,211,91.91,750 mL,Wine description
Wine B,Country C,Brand B,Category B,Note A,13.3,Food Pairing B,Glassware A,Cellar Temperature,Dry,Full,3.7,425,85.38,750 mL,Wine description
Wine B,Country C,Brand C,Category B,Note C,13.6,Food Pairing A,Glassware B,Chilled,Dry,Medium,3.1,395,25.67,750 mL,Wine description
Wine C,Country C,Brand A,Category B,Note A,10.3,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Medium,1.1,143,12.52,750 mL,Wine description
Wine B,Country C,Brand A,Category B,Note C,14.9,Food Pairing C,Glassware C,Room Temperature,Dry,Medium,2.7,341,11.47,750 mL,Wine description
Wine B,Country C,Brand C,Category A,Note A,13.4,Food Pairing B,Glassware A,Chilled,Sweet,Light,2.7,18,42.81,750 mL,Wine description
Wine C,Country B,Brand A,Category B,Note B,11.6,Food Pairing A,Glassware B,Chilled,Sweet,Medium,2.6,222,64.76,750 mL,Wine description
Wine D,Country C,Brand A,Category B,Note C,14.2,Food Pairing C,Glassware A,Room Temperature,Sweet,Medium,3.7,112,50.95,750 mL,Wine description
Wine C,Country A,Brand A,Category A,Note A,13.2,Food Pairing C,Glassware C,Room Temperature,Dry,Full,2.1,61,95.5,750 mL,Wine description
Wine D,Country C,Brand B,Category A,Note A,10.3,Food Pairing C,Glassware B,Chilled,Dry,Full,3.9,218,70.57,750 mL,Wine description
Wine C,Country C,Brand A,Category B,Note B,12.4,Food Pairing C,Glassware C,Room Temperature,Sweet,Full,1.3,162,18.51,750 mL,Wine description
Wine E,Country A,Brand A,Category C,Note C,15.0,Food Pairing C,Glassware C,Chilled,Sweet,Medium,4.5,457,36.31,750 mL,Wine description
Wine A,Country A,Brand C,Category C,Note A,11.8,Food Pairing A,Glassware A,Cellar Temperature,Dry,Light,4.0,166,48.09,750 mL,Wine description
Wine C,Country C,Brand C,Category C,Note A,11.7,Food Pairing C,Glassware A,Chilled,Sweet,Medium,1.4,178,69.31,750 mL,Wine description
Wine B,Country A,Brand B,Category B,Note A,10.3,Food Pairing B,Glassware B,Chilled,Dry,Medium,2.6,43,49.97,750 mL,Wine description
Wine E,Country A,Brand A,Category C,Note A,12.9,Food Pairing C,Glassware A,Cellar Temperature,Sweet,Full,1.9,206,52.67,750 mL,Wine description
Wine D,Country A,Brand A,Category B,Note C,13.1,Food Pairing A,Glassware B,Chilled,Sweet,Full,3.6,484,63.05,750 mL,Wine description
Wine A,Country A,Brand C,Category A,Note B,10.3,Food Pairing A,Glassware A,Chilled,Dry,Medium,4.8,304,24.99,750 mL,Wine description
Wine A,Country C,Brand B,Category A,Note B,13.1,Food Pairing A,Glassware B,Cellar Temperature,Sweet,Full,4.6,473,76.72,750 mL,Wine description
Wine E,Country C,Brand C,Category A,Note A,14.6,Food Pairing A,Glassware A,Cellar Temperature,Sweet,Medium,3.6,42,84.11,750 mL,Wine description
Wine A,Country B,Brand C,Category A,Note B,13.7,Food Pairing A,Glassware B,Room Temperature,Dry,Light,4.6,53,18.38,750 mL,Wine description
Wine C,Country A,Brand C,Category A,Note C,10.7,Food Pairing A,Glassware C,Cellar Temperature,Dry,Light,5.0,319,27.23,750 mL,Wine description
Wine C,Country C,Brand B,Category C,Note B,14.7,Food Pairing B,Glassware B,Room Temperature,Sweet,Medium,2.6,434,15.26,750 mL,Wine description
Wine D,Country B,Brand A,Category A,Note C,10.1,Food Pairing B,Glassware A,Chilled,Sweet,Medium,1.4,28,28.94,750 mL,Wine description
Wine B,Country B,Brand C,Category B,Note C,11.1,Food Pairing B,Glassware A,Room Temperature,Dry,Light,3.1,320,21.02,750 mL,Wine description
Wine B,Country B,Brand B,Category A,Note C,11.7,Food Pairing B,Glassware B,Cellar Temperature,Dry,Medium,2.6,381,56.03,750 mL,Wine description
Wine A,Country B,Brand C,Category A,Note A,11.9,Food Pairing B,Glassware C,Cellar Temperature,Dry,Medium,3.6,41,48.18,750 mL,Wine description
Wine A,Country A,Brand C,Category A,Note A,13.0,Food Pairing A,Glassware B,Chilled,Dry,Full,3.2,42,85.7,750 mL,Wine description
Wine B,Country B,Brand A,Category A,Note B,13.5,Food Pairing B,Glassware C,Cellar Temperature,Sweet,Medium,2.6,376,19.82,750 mL,Wine description
Wine D,Country C,Brand A,Category C,Note C,13.8,Food Pairing A,Glassware A,Cellar Temperature,Sweet,Light,4.5,433,80.94,750 mL,Wine description
Wine D,Country B,Brand B,Category C,Note C,11.0,Food Pairing B,Glassware B,Room Temperature,Sweet,Light,1.3,104,57.69,750 mL,Wine description
Wine C,Country A,Brand A,Category A,Note C,11.7,Food Pairing C,Glassware C,Chilled,Dry,Medium,3.8,88,64.16,750 mL,Wine description
Wine C,Country C,Brand A,Category A,Note B,10.5,Food Pairing C,Glassware B,Chilled,Dry,Medium,4.4,415,20.1,750 mL,Wine description
Wine A,Country C,Brand B,Category B,Note C,12.8,Food Pairing B,Glassware C,Chilled,Sweet,Full,4.2,474,80.0,750 mL,Wine description
Wine A,Country B,Brand A,Category C,Note A,11.9,Food Pairing C,Glassware A,Room Temperature,Sweet,Full,3.0,302,32.11,750 mL,Wine description
Wine D,Country A,Brand C,Category A,Note B,13.2,Food Pairing A,Glassware B,Chilled,Sweet,Full,1.9,290,18.38,750 mL,Wine description
Wine C,Country B,Brand B,Category A,Note A,13.9,Food Pairing C,Glassware A,Chilled,Dry,Light,4.9,371,99.96,750 mL,Wine description
Wine C,Country B,Brand C,Category C,Note A,11.3,Food Pairing C,Glassware A,Cellar Temperature,Dry,Light,3.5,230,78.0,750 mL,Wine description
Wine E,Country A,Brand A,Category A,Note B,12.7,Food Pairing C,Glassware C,Room Temperature,Sweet,Medium,4.2,252,76.86,750 mL,Wine description
Wine E,Country C,Brand C,Category C,Note B,12.4,Food Pairing C,Glassware C,Room Temperature,Dry,Medium,1.8,432,90.02,750 mL,Wine description
Wine B,Country C,Brand A,Category B,Note A,11.5,Food Pairing C,Glassware C,Room Temperature,Sweet,Light,4.5,381,27.35,750 mL,Wine description
Wine E,Country A,Brand C,Category A,Note C,12.0,Food Pairing C,Glassware C,Room Temperature,Dry,Full,4.6,137,79.86,750 mL,Wine description
Wine A,Country A,Brand A,Category A,Note C,10.6,Food Pairing C,Glassware B,Cellar Temperature,Dry,Full,1.2,11,72.85,750 mL,Wine description
Wine A,Country A,Brand A,Category C,Note A,12.3,Food Pairing A,Glassware B,Chilled,Sweet,Full,3.2,271,72.97,750 mL,Wine description
Wine C,Country A,Brand B,Category A,Note A,11.9,Food Pairing C,Glassware C,Room Temperature,Sweet,Medium,2.3,280,48.68,750 mL,Wine description
Wine C,Country A,Brand A,Category C,Note A,13.4,Food Pairing B,Glassware C,Chilled,Sweet,Full,3.4,441,46.43,750 mL,Wine description
Wine E,Country A,Brand A,Category C,Note A,13.4,Food Pairing A,Glassware B,Chilled,Dry,Full,4.9,330,75.04,750 mL,Wine description
Wine E,Country C,Brand C,Category B,Note C,12.3,Food Pairing C,Glassware C,Cellar Temperature,Sweet,Light,2.5,104,60.54,750 mL,Wine description
Wine B,Country A,Brand A,Category A,Note C,12.7,Food Pairing A,Glassware C,Room Temperature,Dry,Medium,3.2,475,65.84,750 mL,Wine description
Wine E,Country B,Brand B,Category C,Note C,11.8,Food Pairing C,Glassware C,Room Temperature,Dry,Medium,2.1,176,37.93,750 mL,Wine description
Wine D,Country B,Brand A,Category B,Note B,12.8,Food Pairing B,Glassware A,Cellar Temperature,Dry,Light,3.7,216,43.25,750 mL,Wine description
Wine E,Country B,Brand C,Category A,Note B,12.5,Food Pairing B,Glassware C,Chilled,Dry,Full,4.6,100,35.89,750 mL,Wine description
Wine C,Country A,Brand C,Category C,Note B,10.1,Food Pairing C,Glassware A,Room Temperature,Dry,Full,3.4,166,12.7,750 mL,Wine description
Wine C,Country B,Brand C,Category B,Note C,13.5,Food Pairing A,Glassware B,Chilled,Dry,Light,2.6,58,96.42,750 mL,Wine description
Wine B,Country A,Brand C,Category B,Note B,11.5,Food Pairing A,Glassware B,Room Temperature,Dry,Full,4.0,347,97.06,750 mL,Wine description
Wine E,Country A,Brand B,Category C,Note B,12.5,Food Pairing C,Glassware C,Chilled,Dry,Light,3.0,295,89.53,750 mL,Wine description
Wine C,Country A,Brand B,Category A,Note A,10.3,Food Pairing C,Glassware C,Room Temperature,Sweet,Light,1.4,61,89.76,750 mL,Wine description
Wine A,Country B,Brand B,Category B,Note A,10.2,Food Pairing B,Glassware C,Cellar Temperature,Sweet,Light,4.9,190,70.74,750 mL,Wine description
Wine B,Country A,Brand B,Category B,Note A,10.4,Food Pairing C,Glassware C,Chilled,Dry,Full,1.3,95,67.25,750 mL,Wine description
Wine A,Country B,Brand A,Category A,Note A,14.6,Food Pairing C,Glassware C,Chilled,Sweet,Full,3.6,90,27.34,750 mL,Wine description
Wine A,Country A,Brand B,Category B,Note A,13.1,Food Pairing B,Glassware C,Cellar Temperature,Sweet,Full,4.9,213,74.84,750 mL,Wine description
Wine A,Country C,Brand B,Category C,Note B,12.0,Food Pairing A,Glassware C,Room Temperature,Dry,Full,1.2,309,22.39,750 mL,Wine description
Wine D,Country A,Brand C,Category C,Note B,12.6,Food Pairing C,Glassware C,Cellar Temperature,Sweet,Medium,1.6,425,51.86,750 mL,Wine description
Wine B,Country B,Brand C,Category C,Note C,13.6,Food Pairing B,Glassware B,Cellar Temperature,Dry,Full,1.8,206,33.69,750 mL,Wine description
Wine C,Country B,Brand B,Category C,Note B,11.5,Food Pairing A,Glassware A,Chilled,Sweet,Medium,2.2,367,82.4,750 mL,Wine description
Wine A,Country C,Brand B,Category B,Note C,12.3,Food Pairing A,Glassware C,Room Temperature,Sweet,Light,4.9,234,37.2,750 mL,Wine description
Wine E,Country C,Brand A,Category A,Note A,13.4,Food Pairing A,Glassware B,Room Temperature,Sweet,Light,4.0,194,44.82,750 mL,Wine description
Wine B,Country A,Brand C,Category B,Note B,12.1,Food Pairing C,Glassware C,Chilled,Dry,Light,3.0,243,19.57,750 mL,Wine description
Wine C,Country C,Brand B,Category B,Note C,14.1,Food Pairing B,Glassware C,Room Temperature,Dry,Medium,4.3,183,98.42,750 mL,Wine description
Wine A,Country A,Brand B,Category B,Note C,12.5,Food Pairing A,Glassware A,Chilled,Dry,Light,3.2,194,86.49,750 mL,Wine description
Wine C,Country A,Brand B,Category C,Note A,14.7,Food Pairing B,Glassware B,Room Temperature,Dry,Medium,4.9,376,81.87,750 mL,Wine description
Wine A,Country B,Brand C,Category C,Note C,11.8,Food Pairing A,Glassware C,Chilled,Sweet,Light,4.1,140,19.74,750 mL,Wine description
Wine C,Country C,Brand C,Category A,Note B,10.1,Food Pairing C,Glassware A,Room Temperature,Dry,Light,3.0,76,41.89,750 mL,Wine description
Wine B,Country C,Brand C,Category A,Note B,13.3,Food Pairing A,Glassware C,Room Temperature,Dry,Medium,1.2,225,10.25,750 mL,Wine description
Wine B,Country A,Brand C,Category B,Note B,13.1,Food Pairing C,Glassware C,Room Temperature,Dry,Medium,1.5,198,93.81,750 mL,Wine description
Wine B,Country B,Brand A,Category A,Note A,12.2,Food Pairing A,Glassware C,Chilled,Sweet,Full,2.5,243,51.61,750 mL,Wine description
Wine A,Country B,Brand B,Category C,Note B,10.4,Food Pairing C,Glassware C,Room Temperature,Sweet,Full,3.5,120,48.85,750 mL,Wine description
Wine E,Country B,Brand A,Category C,Note B,12.9,Food Pairing C,Glassware B,Chilled,Sweet,Light,4.7,424,82.99,750 mL,Wine description
Wine A,Country B,Brand B,Category B,Note C,11.1,Food Pairing B,Glassware C,Cellar Temperature,Dry,Full,3.9,43,84.83,750 mL,Wine description
Wine A,Country C,Brand B,Category C,Note C,11.3,Food Pairing C,Glassware B,Room Temperature,Sweet,Full,2.3,278,59.26,750 mL,Wine description
Wine C,Country C,Brand A,Category C,Note C,13.1,Food Pairing C,Glassware C,Cellar Temperature,Sweet,Light,2.3,43,20.76,750 mL,Wine description
Wine E,Country C,Brand B,Category B,Note A,10.2,Food Pairing B,Glassware C,Room Temperature,Dry,Medium,4.8,336,91.13,750 mL,Wine description
Wine C,Country A,Brand C,Category C,Note A,11.5,Food Pairing A,Glassware B,Chilled,Sweet,Medium,2.0,427,62.85,750 mL,Wine description
Wine C,Country A,Brand A,Category B,Note A,12.4,Food Pairing B,Glassware A,Cellar Temperature,Dry,Full,1.8,178,55.76,750 mL,Wine description
Wine E,Country A,Brand A,Category B,Note A,13.6,Food Pairing C,Glassware C,Cellar Temperature,Dry,Full,4.4,367,63.76,750 mL,Wine description
Wine B,Country C,Brand B,Category A,Note C,11.5,Food Pairing B,Glassware A,Cellar Temperature,Dry,Full,2.3,337,84.85,750 mL,Wine description
Wine A,Country C,Brand A,Category B,Note B,12.7,Food Pairing A,Glassware A,Room Temperature,Sweet,Light,3.0,241,82.14,750 mL,Wine description
Wine D,Country A,Brand C,Category B,Note A,12.4,Food Pairing A,Glassware A,Room Temperature,Dry,Full,2.8,248,64.59,750 mL,Wine description
Wine E,Country B,Brand A,Category B,Note C,10.3,Food Pairing C,Glassware B,Room Temperature,Sweet,Light,2.1,201,81.52,750 mL,Wine description
Wine C,Country A,Brand C,Category C,Note B,13.0,Food Pairing B,Glassware C,Room Temperature,Sweet,Medium,4.0,125,12.55,750 mL,Wine description
Wine C,Country A,Brand A,Category C,Note C,13.2,Food Pairing C,Glassware B,Room Temperature,Dry,Light,4.1,141,30.17,750 mL,Wine description
Wine C,Country A,Brand B,Category B,Note B,13.7,Food Pairing A,Glassware B,Chilled,Sweet,Medium,3.4,162,96.08,750 mL,Wine description
Wine E,Country A,Brand C,Category A,Note C,12.1,Food Pairing A,Glassware A,Room Temperature,Dry,Medium,3.8,178,78.33,750 mL,Wine description
Wine C,Country A,Brand B,Category B,Note B,12.2,Food Pairing B,Glassware A,Cellar Temperature,Dry,Full,1.4,385,73.64,750 mL,Wine description
Wine E,Country C,Brand A,Category B,Note C,11.2,Food Pairing B,Glassware B,Cellar Temperature,Dry,Medium,4.8,110,10.57,750 mL,Wine description
Wine C,Country B,Brand A,Category C,Note B,12.1,Food Pairing B,Glassware A,Chilled,Sweet,Medium,3.4,217,20.23,750 mL,Wine description
Wine E,Country B,Brand C,Category B,Note C,13.0,Food Pairing C,Glassware A,Cellar Temperature,Sweet,Full,3.7,75,26.69,750 mL,Wine description
Wine D,Country B,Brand B,Category C,Note C,13.3,Food Pairing A,Glassware C,Room Temperature,Sweet,Medium,1.4,52,29.13,750 mL,Wine description
Wine B,Country C,Brand B,Category A,Note A,11.0,Food Pairing B,Glassware C,Room Temperature,Sweet,Light,2.1,482,10.77,750 mL,Wine description
Wine A,Country B,Brand A,Category B,Note B,14.4,Food Pairing A,Glassware B,Cellar Temperature,Sweet,Full,1.7,151,10.19,750 mL,Wine description
Wine E,Country C,Brand B,Category A,Note B,13.4,Food Pairing B,Glassware C,Cellar Temperature,Dry,Light,1.4,111,65.54,750 mL,Wine description
Wine A,Country C,Brand A,Category C,Note B,12.2,Food Pairing A,Glassware C,Room Temperature,Sweet,Light,2.7,431,84.79,750 mL,Wine description
Wine E,Country C,Brand C,Category A,Note C,14.6,Food Pairing A,Glassware A,Chilled,Dry,Light,2.6,444,24.71,750 mL,Wine description
Wine A,Country C,Brand C,Category C,Note A,14.9,Food Pairing A,Glassware A,Chilled,Dry,Light,3.3,265,81.76,750 mL,Wine description
Wine A,Country A,Brand C,Category C,Note B,12.3,Food Pairing B,Glassware C,Room Temperature,Dry,Medium,3.4,75,39.46,750 mL,Wine description
Wine C,Country C,Brand B,Category C,Note A,12.2,Food Pairing C,Glassware C,Room Temperature,Dry,Full,1.9,333,81.18,750 mL,Wine description
Wine D,Country B,Brand A,Category B,Note A,11.8,Food Pairing B,Glassware B,Cellar Temperature,Dry,Full,3.5,251,50.88,750 mL,Wine description
Wine E,Country A,Brand C,Category A,Note A,10.9,Food Pairing A,Glassware C,Cellar Temperature,Dry,Light,4.5,222,23.43,750 mL,Wine description
Wine E,Country C,Brand A,Category C,Note A,12.5,Food Pairing A,Glassware A,Chilled,Dry,Medium,1.0,294,28.31,750 mL,Wine description
Wine B,Country C,Brand B,Category C,Note A,13.2,Food Pairing A,Glassware B,Chilled,Dry,Light,4.6,426,83.44,750 mL,Wine description
Wine D,Country B,Brand A,Category C,Note B,14.8,Food Pairing B,Glassware C,Cellar Temperature,Dry,Full,1.5,128,81.63,750 mL,Wine description
Wine E,Country A,Brand B,Category A,Note C,14.1,Food Pairing C,Glassware B,Cellar Temperature,Sweet,Light,3.3,474,78.74,750 mL,Wine description
Wine D,Country B,Brand B,Category C,Note B,13.7,Food Pairing B,Glassware C,Chilled,Sweet,Medium,1.4,264,63.85,750 mL,Wine description
